temp,hum,gas,water,piezo,risk_label
27.3,87.4,352,70,4,1
33.3,83.5,175,155,381,1
32.5,89.4,296,58,310,1
35.8,70.9,247,158,128,1
34.5,84.5,220,160,49,1
36.9,82.5,308,112,17,1
33.4,84.8,196,75,167,1
35.2,69.7,217,138,187,1
32.9,89.7,234,65,246,1
37.6,73.0,323,29,239,1
37.6,68.8,265,173,370,1
34.5,75.7,337,23,404,1
31.4,72.1,213,116,188,0
34.4,83.2,345,163,190,1
28.3,71.3,162,158,287,0
30.7,81.5,182,162,237,1
37.0,73.2,359,29,71,1
27.6,66.0,402,29,49,1
29.7,79.5,348,116,189,1
34.4,85.1,426,107,300,1
35.2,69.2,362,167,50,1
36.2,81.6,293,8,353,1
31.1,77.0,270,92,50,1
37.8,74.9,333,15,203,1
30.1,91.1,382,23,339,1
29.4,82.3,160,12,402,1
30.7,91.7,255,17,391,1
33.1,80.8,269,84,396,1
28.7,89.3,151,70,74,1
37.9,79.6,239,28,338,1
36.5,68.6,333,60,301,1
26.9,47.8,454,32,379,1
28.1,45.1,466,121,229,1
32.3,63.1,512,115,257,1
25.7,67.7,934,77,234,1
30.7,41.4,891,102,218,1
31.2,62.1,855,18,460,1
24.0,67.4,468,32,140,1
30.5,66.3,733,97,305,1
29.4,60.4,841,25,406,1
31.4,78.4,621,110,231,1
33.7,58.6,865,102,212,1
31.8,54.1,721,170,130,1
27.5,46.9,886,17,46,1
33.0,44.2,499,190,378,1
27.5,45.9,462,150,489,1
29.7,54.8,526,105,181,1
33.5,82.4,834,184,26,1
34.6,67.0,761,26,295,1
29.1,47.0,894,57,433,1
24.3,78.0,777,29,390,1
26.3,50.2,840,143,498,1
32.2,68.0,427,155,475,1
30.9,71.2,430,46,139,1
31.4,53.9,748,89,3,1
25.2,46.4,811,17,72,1
31.9,83.7,494,191,271,1
25.6,58.9,750,40,189,1
26.7,54.6,487,13,79,1
24.9,67.8,484,69,226,1
30.9,61.9,853,106,139,1
25.6,63.1,754,110,56,1
26.4,70.5,899,134,341,1
26.7,49.9,457,1,104,1
26.6,49.5,541,195,130,1
26.5,45.4,910,191,220,1
25.1,57.1,636,128,286,1
33.0,76.3,474,101,441,1
31.9,59.6,871,19,441,1
26.8,59.3,815,181,327,1
28.0,45.2,422,83,87,1
32.6,67.8,771,22,223,1
33.1,50.9,811,134,40,1
27.7,54.0,748,56,170,1
32.3,43.4,517,135,261,1
25.3,74.9,760,186,490,1
32.8,76.7,642,26,74,1
26.1,47.8,557,194,388,1
30.9,48.0,906,118,386,1
29.8,66.1,731,160,161,1
24.8,43.1,853,161,155,1
32.6,66.6,761,129,37,1
26.7,60.3,459,94,425,1
26.4,69.0,493,157,304,1
29.1,60.8,443,115,465,1
32.7,69.3,730,154,243,1
29.0,83.1,862,26,415,1
33.8,55.5,487,129,330,1
25.1,51.1,849,112,268,1
29.3,47.1,782,72,198,1
27.9,55.2,454,161,331,1
27.0,54.8,796,72,129,1
31.7,69.5,554,85,41,1
30.0,46.4,759,79,495,1
30.9,69.8,533,152,362,1
34.3,53.9,786,164,405,1
26.9,45.8,940,23,330,1
31.0,62.9,419,92,158,1
25.2,49.6,898,49,115,1
35.0,47.0,703,25,259,1
32.3,77.6,940,9,338,1
27.0,74.5,535,152,192,1
24.9,48.1,570,184,224,1
23.5,56.4,644,113,312,1
26.4,73.7,860,59,273,1
25.9,83.5,881,49,188,1
31.1,65.7,852,118,393,1
26.4,57.2,941,107,494,1
24.9,49.0,542,64,26,1
30.7,79.3,506,182,433,1
29.2,45.6,486,195,82,1
26.3,80.7,551,111,46,1
34.4,50.0,862,89,476,1
23.3,42.4,915,95,120,1
27.6,43.7,630,7,163,1
34.2,77.8,744,37,70,1
23.5,81.3,884,178,425,1
24.7,71.7,860,157,2,1
33.9,40.9,621,38,280,1
34.3,67.4,834,28,397,1
26.5,53.6,449,61,214,1
28.9,80.5,132,314,428,1
32.7,79.5,108,848,263,1
28.1,84.5,249,640,0,1
28.6,64.9,313,392,340,1
29.4,76.5,284,270,488,1
27.4,75.8,359,768,10,1
25.5,74.3,425,597,191,1
23.6,55.7,134,554,123,1
30.3,80.8,495,796,376,1
30.6,60.5,280,760,173,1
31.4,62.2,498,902,237,1
33.7,74.6,193,339,32,1
30.0,93.7,118,501,103,1
20.6,63.2,121,524,477,1
24.3,71.3,378,685,129,1
20.5,81.5,246,566,441,1
30.9,90.5,269,480,63,1
31.2,72.9,304,651,458,1
33.4,68.9,195,709,354,1
27.0,92.9,365,474,410,1
21.2,72.4,320,817,421,1
22.5,67.0,152,282,167,1
29.3,67.6,408,935,218,1
22.3,73.2,328,244,372,1
32.2,69.5,322,482,327,1
33.7,93.9,138,888,326,1
25.7,76.0,483,896,81,1
33.3,60.9,411,895,400,1
26.1,60.2,220,861,187,1
25.1,93.9,116,820,78,1
29.5,93.9,290,655,390,1
21.1,60.6,287,608,160,1
29.1,65.2,158,227,376,1
22.6,76.2,387,321,134,1
30.8,83.9,209,827,146,1
29.7,95.9,202,326,69,1
31.9,73.5,465,656,44,1
31.3,94.7,263,884,177,1
29.9,77.5,248,508,435,1
22.2,84.1,458,854,89,1
31.1,75.9,162,406,405,1
21.9,87.4,113,570,283,1
28.0,74.2,382,333,313,1
32.4,57.7,303,935,368,1
26.7,71.8,309,789,37,1
21.8,68.0,137,661,238,1
29.5,69.1,499,765,327,1
28.2,86.5,166,644,257,1
32.7,57.3,163,731,78,1
24.3,61.6,463,431,177,1
33.3,76.3,245,281,128,1
22.7,94.2,240,329,320,1
24.2,76.9,357,857,86,1
28.3,78.8,187,875,319,1
30.1,79.8,388,243,422,1
32.1,58.3,428,791,135,1
29.1,86.4,313,833,327,1
20.4,91.4,379,497,328,1
33.4,74.8,450,616,152,1
26.3,83.2,180,651,212,1
26.8,63.4,410,348,160,1
32.1,68.1,276,609,66,1
30.6,76.1,154,527,123,1
26.5,66.0,226,345,49,1
20.7,93.8,415,629,127,1
33.5,92.0,267,792,369,1
24.4,86.3,355,728,239,1
27.0,67.7,111,293,483,1
25.5,73.7,223,421,298,1
24.9,57.1,353,812,451,1
31.8,82.6,246,750,4,1
31.9,72.7,235,945,187,1
30.7,70.0,305,253,291,1
27.9,69.9,247,276,197,1
27.1,86.3,243,839,348,1
28.6,60.3,149,604,191,1
31.1,68.9,287,348,101,1
28.4,71.5,120,247,19,1
21.9,68.7,342,732,233,1
22.1,91.6,171,536,476,1
28.6,61.7,415,507,303,1
24.7,89.0,372,702,362,1
27.9,74.5,108,578,169,1
29.4,95.2,398,516,407,1
32.6,90.8,422,228,305,1
26.6,94.6,500,793,295,1
23.2,57.1,345,375,268,1
28.8,80.4,294,352,420,1
29.5,56.3,458,313,97,1
20.3,67.9,177,623,353,1
22.9,61.6,393,241,514,1
29.9,62.5,367,166,940,1
27.4,51.6,168,235,996,1
24.8,53.8,475,135,946,1
22.7,48.1,365,152,681,1
33.2,87.1,474,147,663,1
29.7,60.9,325,178,731,1
24.0,65.4,358,194,855,1
31.5,85.6,491,74,748,1
20.6,85.6,120,177,903,1
29.2,74.6,189,103,728,1
33.1,71.9,150,55,696,1
23.4,70.5,351,115,689,1
20.7,56.9,447,241,553,1
29.5,42.3,361,80,867,1
29.1,81.7,323,244,655,1
30.6,50.2,226,30,542,1
29.1,47.3,458,19,630,1
25.9,79.4,98,203,958,1
22.6,74.7,228,19,460,1
24.2,66.9,251,145,916,1
33.8,63.8,332,68,967,1
26.6,45.2,137,169,617,1
30.2,69.4,447,95,465,1
30.3,76.9,370,98,630,1
28.6,68.9,287,218,978,1
24.6,56.2,128,94,594,1
26.7,84.6,83,133,843,1
23.3,74.9,248,154,462,1
23.7,54.1,200,31,572,1
26.5,43.5,431,257,769,1
29.7,68.9,231,188,677,1
23.1,42.1,158,232,833,1
25.8,64.1,321,275,674,1
30.7,71.1,385,41,989,1
26.3,72.3,119,288,565,1
20.9,64.0,338,103,1000,1
22.1,52.4,346,226,570,1
29.5,73.0,330,46,973,1
26.2,37.9,147,262,876,1
26.4,38.1,316,157,473,1
25.5,78.3,461,111,525,1
20.6,53.3,112,277,512,1
33.1,38.7,321,16,744,1
25.7,75.8,472,215,834,1
33.9,55.3,273,192,533,1
29.6,70.1,356,68,807,1
21.7,87.6,281,270,581,1
30.2,46.8,81,11,756,1
26.5,73.1,297,272,839,1
31.5,48.1,257,79,733,1
22.6,81.4,471,57,483,1
31.3,57.2,472,8,697,1
22.9,40.3,97,228,500,1
23.4,37.3,304,119,673,1
30.6,76.1,151,257,747,1
23.3,83.6,374,163,779,1
23.3,81.4,418,266,677,1
25.8,49.6,365,89,888,1
27.8,37.5,256,195,988,1
24.5,57.1,156,153,836,1
22.6,63.5,203,115,758,1
32.0,42.7,317,29,873,1
33.5,64.5,148,198,699,1
23.6,52.5,120,230,830,1
21.3,73.4,177,26,725,1
25.3,67.1,100,37,643,1
31.3,66.1,423,286,673,1
26.7,81.1,250,155,466,1
23.0,45.1,459,60,941,1
32.8,71.9,440,104,857,1
32.8,64.3,477,144,840,1
26.5,69.4,237,133,819,1
27.2,61.4,130,240,778,1
32.8,54.6,291,23,677,1
30.4,35.9,363,299,878,1
24.1,45.4,197,194,702,1
27.0,69.7,430,172,714,1
30.7,60.9,450,251,922,1
22.4,77.1,166,71,951,1
22.6,82.1,408,30,987,1
20.5,79.9,498,24,457,1
25.8,79.7,198,34,605,1
20.1,61.8,271,30,945,1
29.2,35.8,352,282,872,1
20.2,63.1,220,274,744,1
20.2,78.1,425,220,634,1
21.5,40.1,156,123,647,1
28.7,48.4,261,136,857,1
21.1,85.8,315,289,700,1
44.9,80.2,532,919,482,1
31.4,83.7,937,307,459,1
40.5,76.9,894,910,789,1
38.5,94.7,547,790,493,1
33.4,95.7,936,527,497,1
43.9,90.7,737,806,483,1
32.7,94.6,466,462,597,1
41.3,91.4,857,328,756,1
32.4,80.5,848,943,789,1
35.8,92.0,530,762,804,1
30.8,85.1,527,598,856,1
44.5,82.5,729,711,952,1
33.4,87.7,834,692,640,1
40.2,90.2,537,883,752,1
42.0,91.4,534,524,607,1
35.7,93.0,607,648,774,1
35.4,77.1,765,705,818,1
41.4,77.4,539,441,891,1
36.7,87.8,867,355,476,1
31.3,87.7,782,644,462,1
34.4,83.9,536,992,698,1
38.6,78.9,839,423,592,1
34.0,81.2,599,314,621,1
36.5,84.7,945,328,819,1
33.8,80.7,957,858,650,1
36.9,78.1,456,655,790,1
42.6,83.7,787,700,792,1
36.5,93.9,589,557,778,1
39.0,91.0,940,571,631,1
44.5,97.3,748,961,952,1
44.5,93.0,783,635,737,1
42.2,84.0,566,827,654,1
38.9,87.5,477,994,922,1
44.1,79.8,748,959,520,1
42.3,93.3,868,939,961,1
32.1,82.0,708,924,607,1
40.7,93.1,525,709,940,1
38.7,87.3,878,806,487,1
41.9,83.3,999,858,537,1
31.6,80.7,813,420,495,1
38.4,89.8,859,589,890,1
31.6,77.3,677,772,981,1
38.4,90.8,676,706,833,1
35.9,92.8,962,404,803,1
45.0,86.1,752,675,537,1
31.7,96.6,595,606,769,1
35.1,93.0,983,744,806,1
37.1,85.1,913,576,518,1
34.5,93.6,567,273,801,1
39.7,90.6,618,499,978,1
32.6,78.7,886,723,687,1
42.0,89.5,640,905,892,1
35.9,92.0,652,710,889,1
35.8,91.2,660,535,514,1
38.7,93.4,999,441,824,1
34.9,85.5,718,936,951,1
37.9,89.7,847,875,851,1
38.8,83.0,918,882,626,1
42.2,91.2,754,879,536,1
40.1,82.2,694,562,569,1
32.7,90.9,973,647,878,1
38.9,88.2,883,440,948,1
39.5,90.9,627,818,620,1
37.3,78.2,772,711,504,1
43.0,96.9,946,389,649,1
42.2,97.2,967,918,956,1
36.1,86.3,904,750,621,1
31.2,75.7,675,549,483,1
34.1,87.4,622,718,957,1
38.2,77.6,566,524,825,1
38.1,92.4,901,809,673,1
44.8,77.4,703,554,483,1
36.7,83.0,539,699,570,1
41.6,80.4,809,977,888,1
32.5,78.2,661,461,510,1
38.6,87.2,622,581,749,1
34.3,81.1,976,945,547,1
32.0,92.3,871,310,733,1
43.0,77.9,585,505,599,1
40.7,94.1,852,751,595,1
38.7,81.2,874,634,912,1
31.1,93.3,545,662,977,1
41.2,91.0,827,715,949,1
34.9,75.1,545,998,919,1
39.5,91.0,514,797,857,1
33.3,84.9,666,756,724,1
34.8,81.5,583,829,946,1
41.8,95.6,499,297,551,1
39.4,94.2,466,377,611,1
36.6,75.0,888,457,585,1
